Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality
Species,Pets,Humans,Humans - Pets,0.89984873582538,0.0340783755279591,166,Neutral,,Neutral,Neutral
Intervention,Omission,Commission,Commission - Omission,0.298655629690428,0.0309175921585015,950,West_American,USA,West,American
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.472326157733612,0.0466195821845954,357,West_American,USA,West,American
Law,Illegal,Legal,Legal - Illegal,0.681233933161951,0.0470589716333979,244,West_American,USA,West,American
Gender,Male,Female,Female - Male,0.248300766006963,0.0681499174039791,198,West_American,USA,West,American
Fitness,Large,Fit,Fit - Large,0.166563138618037,0.0847584772904531,132,West_American,USA,West,American
Social Status,Low,High,High - Low,0.750099490515962,0.0544977103544858,148,West_American,USA,West,American
Age,Elderly,Young,Young - Elderly,0.186949059897919,0.077809737791288,160,West_American,USA,West,American
No. Characters,Less,More,More - Less,0.758713611968357,0.0539502634259018,146,West_American,USA,West,American
Species,Pets,Humans,Humans - Pets,0.791175270880506,0.0477690384347057,166,West_American,USA,West,American
Intervention,Omission,Commission,Commission - Omission,0.277417224278377,0.0312092633344451,950,West_Australian,AUS,West,Australian
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.363149924441517,0.0493358829695939,357,West_Australian,AUS,West,Australian
Law,Illegal,Legal,Legal - Illegal,0.727506426735216,0.0441042341185714,244,West_Australian,AUS,West,Australian
Gender,Male,Female,Female - Male,0.263194517612666,0.0684262814122078,198,West_Australian,AUS,West,Australian
Fitness,Large,Fit,Fit - Large,-0.0504614587190427,0.08712060778022,132,West_Australian,AUS,West,Australian
Social Status,Low,High,High - Low,0.664739589627076,0.0610591877535282,148,West_Australian,AUS,West,Australian
Age,Elderly,Young,Young - Elderly,-0.0117645329724086,0.0792872703118381,160,West_Australian,AUS,West,Australian
No. Characters,Less,More,More - Less,0.803149168978771,0.0495832545575961,146,West_Australian,AUS,West,Australian
Species,Pets,Humans,Humans - Pets,0.932079084409455,0.0282873517808038,166,West_Australian,AUS,West,Australian
Intervention,Omission,Commission,Commission - Omission,0.290801539023833,0.0310063027978343,950,West_Brazilian,BRA,West,Brazilian
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.452759816429134,0.0471563861308222,357,West_Brazilian,BRA,West,Brazilian
Law,Illegal,Legal,Legal - Illegal,0.83033419023136,0.0358224001053698,244,West_Brazilian,BRA,West,Brazilian
Gender,Male,Female,Female - Male,0.141663619627052,0.070093835475155,198,West_Brazilian,BRA,West,Brazilian
Fitness,Large,Fit,Fit - Large,0.0399653371226324,0.0866230279989623,132,West_Brazilian,BRA,West,Brazilian
Social Status,Low,High,High - Low,0.584382090226455,0.0662399246038797,148,West_Brazilian,BRA,West,Brazilian
Age,Elderly,Young,Young - Elderly,0.118525849958666,0.0789164194061829,160,West_Brazilian,BRA,West,Brazilian
No. Characters,Less,More,More - Less,0.658929020731141,0.0618335478339038,146,West_Brazilian,BRA,West,Brazilian
Species,Pets,Humans,Humans - Pets,0.770290661955335,0.0498029858882863,166,West_Brazilian,BRA,West,Brazilian
Intervention,Omission,Commission,Commission - Omission,0.301113135821075,0.030841975920761,950,West_British,GBR,West,British
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.474233242705638,0.0466254139416372,357,West_British,GBR,West,British
Law,Illegal,Legal,Legal - Illegal,0.748071979434448,0.0426589547430882,244,West_British,GBR,West,British
Gender,Male,Female,Female - Male,0.263702549855522,0.0681854581523945,198,West_British,GBR,West,British
Fitness,Large,Fit,Fit - Large,0.0459942236700927,0.0857875274300109,132,West_British,GBR,West,British
Social Status,Low,High,High - Low,0.705500512126809,0.0579077792137344,148,West_British,GBR,West,British
Age,Elderly,Young,Young - Elderly,0.0702933791843478,0.0785504090793496,160,West_British,GBR,West,British
No. Characters,Less,More,More - Less,0.712545898504275,0.057516414692738,146,West_British,GBR,West,British
Species,Pets,Humans,Humans - Pets,0.837051546074249,0.0426901838162344,166,West_British,GBR,West,British
