Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,NeutralEstimate,NeutralSE,NeutralN,DifferenceFromNeutral,AbsDifferenceFromNeutral
Law,Illegal,Legal,Legal - Illegal,0.57840617,0.052438327,244,West_Canadian,CAN,West,Canadian,0.701799486,0.04579317,244,-0.123393316,0.123393316
Law,Illegal,Legal,Legal - Illegal,0.706940874,0.045465208,244,West_German,DEU,West,German,0.701799486,0.04579317,244,0.005141388,0.005141388
Law,Illegal,Legal,Legal - Illegal,0.66066838,0.048255402,244,West_Italian,ITA,West,Italian,0.701799486,0.04579317,244,-0.041131105,0.041131105
Law,Illegal,Legal,Legal - Illegal,0.686375321,0.04674924,244,West_Polish,POL,West,Polish,0.701799486,0.04579317,244,-0.015424165,0.015424165
Law,Illegal,Legal,Legal - Illegal,0.694087404,0.046276329,244,West_Russian,RUS,West,Russian,0.701799486,0.04579317,244,-0.007712082,0.007712082
Law,Illegal,Legal,Legal - Illegal,0.76092545,0.041708971,244,West_Spanish,ESP,West,Spanish,0.701799486,0.04579317,244,0.059125964,0.059125964
No. Characters,Less,More,More - Less,0.723794806,0.05659965,146,East_Chinese,CHN,East,Chinese,0.65630136,0.061658545,146,0.067493446,0.067493446
No. Characters,Less,More,More - Less,0.745620129,0.054828558,146,East_Emirati,ARE,East,Emirati,0.65630136,0.061658545,146,0.089318769,0.089318769
No. Characters,Less,More,More - Less,0.675288993,0.060133174,146,East_HongKonger,HKG,East,HongKonger,0.65630136,0.061658545,146,0.018987634,0.018987634
No. Characters,Less,More,More - Less,0.656017864,0.062254514,146,East_Indian,IND,East,Indian,0.65630136,0.061658545,146,-0.000283496,0.000283496
No. Characters,Less,More,More - Less,0.758713612,0.053950263,146,East_Indonesian,IDN,East,Indonesian,0.65630136,0.061658545,146,0.102412252,0.102412252
No. Characters,Less,More,More - Less,0.703378999,0.057991591,146,East_Japanese,JPN,East,Japanese,0.65630136,0.061658545,146,0.047077639,0.047077639
No. Characters,Less,More,More - Less,0.707285291,0.057782112,146,East_Korean,KOR,East,Korean,0.65630136,0.061658545,146,0.050983931,0.050983931
No. Characters,Less,More,More - Less,0.672967532,0.060736694,146,East_Malaysian,MYS,East,Malaysian,0.65630136,0.061658545,146,0.016666172,0.016666172
No. Characters,Less,More,More - Less,0.693797719,0.058975738,146,East_SaudiArabian,SAU,East,SaudiArabian,0.65630136,0.061658545,146,0.037496359,0.037496359
No. Characters,Less,More,More - Less,0.787437159,0.050468476,146,East_Taiwanese,TWN,East,Taiwanese,0.65630136,0.061658545,146,0.1311358,0.1311358
No. Characters,Less,More,More - Less,0.758713612,0.053950263,146,West_American,USA,West,American,0.65630136,0.061658545,146,0.102412252,0.102412252
No. Characters,Less,More,More - Less,0.803149169,0.049583255,146,West_Australian,AUS,West,Australian,0.65630136,0.061658545,146,0.146847809,0.146847809
No. Characters,Less,More,More - Less,0.658929021,0.061833548,146,West_Brazilian,BRA,West,Brazilian,0.65630136,0.061658545,146,0.002627661,0.002627661
No. Characters,Less,More,More - Less,0.712545899,0.057516415,146,West_British,GBR,West,British,0.65630136,0.061658545,146,0.056244539,0.056244539
No. Characters,Less,More,More - Less,0.758713612,0.053950263,146,West_Canadian,CAN,West,Canadian,0.65630136,0.061658545,146,0.102412252,0.102412252
No. Characters,Less,More,More - Less,0.799075064,0.049727576,146,West_German,DEU,West,German,0.65630136,0.061658545,146,0.142773705,0.142773705
No. Characters,Less,More,More - Less,0.804674367,0.048493992,146,West_Italian,ITA,West,Italian,0.65630136,0.061658545,146,0.148373007,0.148373007
No. Characters,Less,More,More - Less,0.722127178,0.056492874,146,West_Polish,POL,West,Polish,0.65630136,0.061658545,146,0.065825818,0.065825818
No. Characters,Less,More,More - Less,0.720251934,0.057637053,146,West_Russian,RUS,West,Russian,0.65630136,0.061658545,146,0.063950574,0.063950574
No. Characters,Less,More,More - Less,0.742542986,0.054998135,146,West_Spanish,ESP,West,Spanish,0.65630136,0.061658545,146,0.086241626,0.086241626
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.493801974,0.046064314,357,East_Chinese,CHN,East,Chinese,0.612446717,0.041828378,357,-0.118644743,0.118644743
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.42498122,0.0478328,357,East_Emirati,ARE,East,Emirati,0.612446717,0.041828378,357,-0.187465497,0.187465497
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.522846384,0.045194806,357,East_HongKonger,HKG,East,HongKonger,0.612446717,0.041828378,357,-0.089600333,0.089600333
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.491248838,0.046006397,357,East_Indian,IND,East,Indian,0.612446717,0.041828378,357,-0.121197879,0.121197879
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.466020987,0.046826288,357,East_Indonesian,IDN,East,Indonesian,0.612446717,0.041828378,357,-0.146425729,0.146425729
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.473577632,0.046527348,357,East_Japanese,JPN,East,Japanese,0.612446717,0.041828378,357,-0.138869084,0.138869084
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.525997774,0.045078605,357,East_Korean,KOR,East,Korean,0.612446717,0.041828378,357,-0.086448942,0.086448942
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.478013955,0.046491393,357,East_Malaysian,MYS,East,Malaysian,0.612446717,0.041828378,357,-0.134432762,0.134432762
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.470440581,0.046709129,357,East_SaudiArabian,SAU,East,SaudiArabian,0.612446717,0.041828378,357,-0.142006135,0.142006135
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.552510557,0.044193104,357,East_Taiwanese,TWN,East,Taiwanese,0.612446717,0.041828378,357,-0.05993616,0.05993616
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.472326158,0.046619582,357,West_American,USA,West,American,0.612446717,0.041828378,357,-0.140120559,0.140120559
