Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,NeutralEstimate,NeutralSE,NeutralN,DifferenceFromNeutral,AbsDifferenceFromNeutral
No. Characters,Less,More,More - Less,0.526892272160394,0.0669220737804952,146,East_SaudiArabian,SAU,East,SaudiArabian,0.657406502270952,0.0604034792166735,146,-0.130514230110558,0.130514230110558
No. Characters,Less,More,More - Less,0.652435260993577,0.0608035135162514,146,East_Taiwanese,TWN,East,Taiwanese,0.657406502270952,0.0604034792166735,146,-0.00497124127737503,0.00497124127737503
No. Characters,Less,More,More - Less,0.669158653258832,0.0602910736730224,146,West_American,USA,West,American,0.657406502270952,0.0604034792166735,146,0.01175215098788,0.01175215098788
No. Characters,Less,More,More - Less,0.624883406222282,0.0630000099429476,146,West_Australian,AUS,West,Australian,0.657406502270952,0.0604034792166735,146,-0.03252309604867,0.03252309604867
No. Characters,Less,More,More - Less,0.657382293784091,0.0617796598057429,146,West_Brazilian,BRA,West,Brazilian,0.657406502270952,0.0604034792166735,146,-2.42084868610215e-05,2.42084868610215e-05
No. Characters,Less,More,More - Less,0.60983697174776,0.0639488130775722,146,West_British,GBR,West,British,0.657406502270952,0.0604034792166735,146,-0.047569530523192,0.047569530523192
No. Characters,Less,More,More - Less,0.632023855079004,0.0633732992392437,146,West_Canadian,CAN,West,Canadian,0.657406502270952,0.0604034792166735,146,-0.0253826471919479,0.0253826471919479
No. Characters,Less,More,More - Less,0.723005850254407,0.0557481279367206,146,West_German,DEU,West,German,0.657406502270952,0.0604034792166735,146,0.065599347983455,0.065599347983455
No. Characters,Less,More,More - Less,0.705144040375021,0.0574566696572544,146,West_Italian,ITA,West,Italian,0.657406502270952,0.0604034792166735,146,0.047737538104069,0.047737538104069
No. Characters,Less,More,More - Less,0.652145894304694,0.0605368878795713,146,West_Polish,POL,West,Polish,0.657406502270952,0.0604034792166735,146,-0.00526060796625794,0.00526060796625794
No. Characters,Less,More,More - Less,0.652145894304694,0.0605368878795713,146,West_Russian,RUS,West,Russian,0.657406502270952,0.0604034792166735,146,-0.00526060796625794,0.00526060796625794
No. Characters,Less,More,More - Less,0.693008762921718,0.0581000157107584,146,West_Spanish,ESP,West,Spanish,0.657406502270952,0.0604034792166735,146,0.035602260650766,0.035602260650766
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.738619426615863,0.0352177074394162,357,East_Chinese,CHN,East,Chinese,0.330336751056903,0.050001983727666,357,0.40828267555896,0.40828267555896
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.676838317590988,0.039004567266544,357,East_Emirati,ARE,East,Emirati,0.330336751056903,0.050001983727666,357,0.346501566534085,0.346501566534085
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.408633184075126,0.0484395044894517,357,East_HongKonger,HKG,East,HongKonger,0.330336751056903,0.050001983727666,357,0.078296433018223,0.078296433018223
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.559397252809845,0.0436737613220262,357,East_Indian,IND,East,Indian,0.330336751056903,0.050001983727666,357,0.229060501752942,0.229060501752942
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.59158827357827,0.0424870471501217,357,East_Indonesian,IDN,East,Indonesian,0.330336751056903,0.050001983727666,357,0.261251522521367,0.261251522521367
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.720333238005638,0.0364203017078456,357,East_Japanese,JPN,East,Japanese,0.330336751056903,0.050001983727666,357,0.389996486948735,0.389996486948735
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.580270034947292,0.0431455431528682,357,East_Korean,KOR,East,Korean,0.330336751056903,0.050001983727666,357,0.249933283890389,0.249933283890389
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.488721990187354,0.0460686498274316,357,East_Malaysian,MYS,East,Malaysian,0.330336751056903,0.050001983727666,357,0.158385239130451,0.158385239130451
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.699529760961157,0.0377155900402277,357,East_SaudiArabian,SAU,East,SaudiArabian,0.330336751056903,0.050001983727666,357,0.369193009904254,0.369193009904254
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.630737685002777,0.0409949402996136,357,East_Taiwanese,TWN,East,Taiwanese,0.330336751056903,0.050001983727666,357,0.300400933945874,0.300400933945874
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.393419521253163,0.0485578040506445,357,West_American,USA,West,American,0.330336751056903,0.050001983727666,357,0.06308277019626,0.06308277019626
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.31201949464638,0.050272744237249,357,West_Australian,AUS,West,Australian,0.330336751056903,0.050001983727666,357,-0.018317256410523,0.018317256410523
