Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,NeutralEstimate,NeutralSE,NeutralN,DifferenceFromNeutral,AbsDifferenceFromNeutral
Social Status,Low,High,High - Low,0.579251107,0.143577427,32,West_American,USA,West,American,0.413631934,0.161542027,32,0.165619173,0.165619173
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.528665485,0.105137411,67,West_American,USA,West,American,0.368375003,0.115308637,67,0.160290483,0.160290483
Intervention,Omission,Commission,Commission - Omission,-0.015422806,0.071314244,200,West_British,GBR,West,British,0.143875121,0.070354588,200,-0.159297926,0.159297926
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.524334493,0.105615466,67,West_Polish,POL,West,Polish,0.368375003,0.115308637,67,0.15595949,0.15595949
Social Status,Low,High,High - Low,0.56567779,0.147591586,32,West_British,GBR,West,British,0.413631934,0.161542027,32,0.152045855,0.152045855
Fitness,Large,Fit,Fit - Large,0.801533768,0.128734244,24,West_Australian,AUS,West,Australian,0.654465936,0.161199247,24,0.147067832,0.147067832
Fitness,Large,Fit,Fit - Large,0.7893539,0.12785151,24,East_Korean,KOR,East,Korean,0.654465936,0.161199247,24,0.134887964,0.134887964
Fitness,Large,Fit,Fit - Large,0.7893539,0.12785151,24,East_Taiwanese,TWN,East,Taiwanese,0.654465936,0.161199247,24,0.134887964,0.134887964
Fitness,Large,Fit,Fit - Large,0.7893539,0.12785151,24,West_Russian,RUS,West,Russian,0.654465936,0.161199247,24,0.134887964,0.134887964
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.502942013,0.10684335,67,West_Canadian,CAN,West,Canadian,0.368375003,0.115308637,67,0.13456701,0.13456701
Fitness,Large,Fit,Fit - Large,0.522812123,0.180536045,24,East_Japanese,JPN,East,Japanese,0.654465936,0.161199247,24,-0.131653813,0.131653813
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.236782816,0.120500342,67,West_Australian,AUS,West,Australian,0.368375003,0.115308637,67,-0.131592187,0.131592187
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.236782816,0.120500342,67,West_British,GBR,West,British,0.368375003,0.115308637,67,-0.131592187,0.131592187
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.49861102,0.107433236,67,West_Brazilian,BRA,West,Brazilian,0.368375003,0.115308637,67,0.130236017,0.130236017
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.49861102,0.107433236,67,West_German,DEU,West,German,0.368375003,0.115308637,67,0.130236017,0.130236017
Intervention,Omission,Commission,Commission - Omission,0.014999375,0.071178304,200,East_Indonesian,IDN,East,Indonesian,0.143875121,0.070354588,200,-0.128875745,0.128875745
Species,Pets,Humans,Humans - Pets,-0.897209576,0.071637791,40,East_HongKonger,HKG,East,HongKonger,-0.772904507,0.102031276,40,-0.124305069,0.124305069
Age,Elderly,Young,Young - Elderly,-0.597571416,0.13045851,40,East_Japanese,JPN,East,Japanese,-0.482006302,0.142808161,40,-0.115565115,0.115565115
Intervention,Omission,Commission,Commission - Omission,0.041429622,0.071167702,200,West_Italian,ITA,West,Italian,0.143875121,0.070354588,200,-0.102445499,0.102445499
Gender,Male,Female,Female - Male,-0.61971698,0.141165074,32,West_Australian,AUS,West,Australian,-0.518580808,0.156742344,32,-0.101136172,0.101136172
Age,Elderly,Young,Young - Elderly,-0.387249659,0.150805177,40,East_HongKonger,HKG,East,HongKonger,-0.482006302,0.142808161,40,0.094756642,0.094756642
Intervention,Omission,Commission,Commission - Omission,0.052727533,0.071068574,200,West_Canadian,CAN,West,Canadian,0.143875121,0.070354588,200,-0.091147588,0.091147588
Age,Elderly,Young,Young - Elderly,-0.567113622,0.134329789,40,West_British,GBR,West,British,-0.482006302,0.142808161,40,-0.08510732,0.08510732
Age,Elderly,Young,Young - Elderly,-0.567113622,0.134329789,40,West_Polish,POL,West,Polish,-0.482006302,0.142808161,40,-0.08510732,0.08510732
Age,Elderly,Young,Young - Elderly,-0.567113622,0.134329789,40,West_Russian,RUS,West,Russian,-0.482006302,0.142808161,40,-0.08510732,0.08510732
No. Characters,Less,More,More - Less,0.739829563,0.11077585,32,East_Emirati,ARE,East,Emirati,0.823732515,0.092632343,32,-0.083902953,0.083902953
No. Characters,Less,More,More - Less,0.739829563,0.11077585,32,East_HongKonger,HKG,East,HongKonger,0.823732515,0.092632343,32,-0.083902953,0.083902953
No. Characters,Less,More,More - Less,0.739829563,0.11077585,32,East_Indian,IND,East,Indian,0.823732515,0.092632343,32,-0.083902953,0.083902953
No. Characters,Less,More,More - Less,0.739829563,0.11077585,32,East_Japanese,JPN,East,Japanese,0.823732515,0.092632343,32,-0.083902953,0.083902953
No. Characters,Less,More,More - Less,0.739829563,0.11077585,32,East_Korean,KOR,East,Korean,0.823732515,0.092632343,32,-0.083902953,0.083902953
No. Characters,Less,More,More - Less,0.739829563,0.11077585,32,East_Malaysian,MYS,East,Malaysian,0.823732515,0.092632343,32,-0.083902953,0.083902953
No. Characters,Less,More,More - Less,0.739829563,0.11077585,32,East_SaudiArabian,SAU,East,SaudiArabian,0.823732515,0.092632343,32,-0.083902953,0.083902953
No. Characters,Less,More,More - Less,0.739829563,0.11077585,32,West_German,DEU,West,German,0.823732515,0.092632343,32,-0.083902953,0.083902953
