UserCountry3,[Omission -> Commission]: Estimates,[Passengers -> Pedestrians]: Estimates,Law [Illegal -> Legal]: Estimates,Gender [Male -> Female]: Estimates,Fitness [Large -> Fit]: Estimates,Social Status [Low -> High]: Estimates,Age [Elderly -> Young]: Estimates,No. Characters [Less -> More]: Estimates,Species [Pets -> Humans]: Estimates,[Omission -> Commission]: se,[Passengers -> Pedestrians]: se,Law [Illegal -> Legal]: se,Gender [Male -> Female]: se,Fitness [Large -> Fit]: se,Social Status [Low -> High]: se,Age [Elderly -> Young]: se,No. Characters [Less -> More]: se,Species [Pets -> Humans]: se
SVN,0.075868269,0.047789855,0.365322342,0.089469627,0.154750022,0.344138668,0.469298386,0.478563719,0.576186383,0.006728763,0.012233296,0.012089206,0.014386457,0.014897445,0.021870223,0.013712241,0.013780136,0.014526605
SWE,0.071287327,0.117834674,0.329187469,0.098743228,0.144183669,0.30957621,0.48894931,0.504772265,0.576764407,0.001813012,0.003915894,0.006157228,0.004857888,0.003891454,0.006023061,0.004008736,0.003929443,0.006378802
SYR,0.067982396,0.165510909,0.311890824,-0.023754258,0.129350821,0.380589316,0.522681547,0.528252075,0.529345669,0.028719835,0.057213116,0.063623863,0.080220233,0.069604722,0.085648618,0.061851975,0.064093075,0.106505004
THA,0.074358836,0.074676306,0.365014782,0.091306612,0.10346812,0.302338676,0.362846156,0.406771707,0.593765605,0.004000884,0.00761039,0.007777013,0.008808824,0.009166045,0.012615896,0.00835427,0.008922166,0.007777219
TTO,0.014307802,0.07725725,0.302297528,0.141179714,0.228358102,0.373863759,0.464534632,0.514408536,0.541514274,0.016649535,0.030150136,0.031109454,0.037810759,0.038526224,0.064513207,0.037390501,0.034148035,0.041066252
TUN,0.058081114,0.055207534,0.301627193,0.152702328,0.180331142,0.344184759,0.457314542,0.495728939,0.600393805,0.010780585,0.021463654,0.026506689,0.025764247,0.02627034,0.035942457,0.026763428,0.022839327,0.024770541
TUR,0.026047834,0.160214812,0.322729045,0.107855427,0.180006069,0.333609256,0.494938581,0.455205979,0.373417837,0.001191058,0.002305067,0.002438952,0.002871541,0.003056617,0.004208112,0.002762878,0.00276109,0.003664158
TWN,0.075286482,0.084831585,0.347282936,0.093213523,0.130986749,0.273966528,0.345241775,0.392762254,0.55679039,0.003076446,0.007070504,0.006644861,0.006500626,0.006983797,0.010145078,0.006788459,0.006142323,0.00711509
UKR,0.062537518,0.040903153,0.383708315,0.061688743,0.169003818,0.339543974,0.455242386,0.443044246,0.600884697,0.002231388,0.004467993,0.004680776,0.005088385,0.005320599,0.007409871,0.005166783,0.004683678,0.004834567
URY,0.026970018,0.117273297,0.344766515,0.142835259,0.139651388,0.39499737,0.513222164,0.502547718,0.392275189,0.006030792,0.012541338,0.013187618,0.014515687,0.015323648,0.02145364,0.014321935,0.012895139,0.022217271
USA,0.067244816,0.098284516,0.318724086,0.120597766,0.176191071,0.35861455,0.490754563,0.53104843,0.584043888,0.000571089,0.001192761,0.001426453,0.001034121,0.001020982,0.001497454,0.001318415,0.001006283,0.001851544
UZB,0.048687904,0.110705213,0.274413323,0.027872685,0.130632802,0.418629356,0.529831157,0.598314251,0.592564466,0.023854531,0.042306241,0.042290254,0.054169334,0.062234573,0.07292325,0.047647393,0.04196831,0.048243504
VEN,0.015272014,0.115529649,0.35196398,0.18949271,0.179246642,0.471062902,0.484124833,0.493406697,0.319074396,0.005179173,0.009364793,0.010861403,0.012783488,0.013581482,0.018003561,0.013857698,0.011516815,0.015801885
VNM,0.035074575,0.060405015,0.312507234,0.136494599,0.159443924,0.379630293,0.454505653,0.472410408,0.554450601,0.00498748,0.009571634,0.010050505,0.011465093,0.01218239,0.016486255,0.011036939,0.010451196,0.010977526
ZAF,0.069736576,0.139021841,0.336733201,0.140644613,0.18135695,0.393273473,0.50124258,0.54134057,0.587458433,0.004590017,0.008556595,0.008691948,0.010176621,0.010677667,0.014475522,0.009797747,0.009320451,0.010955777
